OBJECTID,MESH,Latitude,Longitude,Reference,cs137_inve,landuse_co
172602,5640_4706_2_4,37.66979200000,140.96093800000,2011/7/2,103012.29690000000,10
172632,5640_4708_2_2,37.66770800000,140.98593800000,2011/7/2,73204.91406000000,70
172645,5640_4709_1_3,37.66979200000,140.98906300000,2011/7/2,72180.25000000000,60
172649,5640_4709_2_3,37.66979200000,140.99531300000,2011/7/2,71306.95313000000,100
172650,5640_4709_2_4,37.66979200000,140.99843800000,2011/7/2,67963.92969000000,100
172564,5640_4704_1_2,37.66770800000,140.92968800000,2011/7/2,172301.57810000000,110
172567,5640_4704_2_1,37.66770800000,140.93281300000,2011/7/2,159927.67190000000,110
172579,5640_4705_1_1,37.66770800000,140.93906300000,2011/7/2,142336.06250000000,110
172599,5640_4706_2_1,37.66770800000,140.95781300000,2011/7/2,110831.39840000000,70
172648,5640_4709_2_2,37.66770800000,140.99843800000,2011/7/2,68206.21875000000,50
172504,5640_4700_2_2,37.66770800000,140.88593800000,2011/7/2,430601.78130000000,20
172506,5640_4700_2_4,37.66979200000,140.88593800000,2011/7/2,427737.43750000000,20
172552,5640_4703_2_2,37.66770800000,140.92343800000,2011/7/2,184774.68750000000,10
172553,5640_4703_2_3,37.66979200000,140.92031300000,2011/7/2,193386.67190000000,10
172554,5640_4703_2_4,37.66979200000,140.92343800000,2011/7/2,182888.79690000000,10
172565,5640_4704_1_3,37.66979200000,140.92656300000,2011/7/2,178956.60940000000,10
172566,5640_4704_1_4,37.66979200000,140.92968800000,2011/7/2,167640.82810000000,10
172569,5640_4704_2_3,37.66979200000,140.93281300000,2011/7/2,156765.87500000000,10
172570,5640_4704_2_4,37.66979200000,140.93593800000,2011/7/2,147946.57810000000,10
172581,5640_4705_1_3,37.66979200000,140.93906300000,2011/7/2,140248.34380000000,10
172643,5640_4709_1_1,37.66770800000,140.98906300000,2011/7/2,72881.78125000000,50
172644,5640_4709_1_2,37.66770800000,140.99218800000,2011/7/2,73033.05469000000,50
172647,5640_4709_2_1,37.66770800000,140.99531300000,2011/7/2,71621.35156000000,50
170347,5640_3699_4_4,37.66562500000,140.87343800000,2011/7/2,520329.21880000000,20
171819,5640_3791_4_4,37.66562500000,140.89843800000,2011/7/2,354797.68750000000,70
171831,5640_3792_3_4,37.66562500000,140.90468800000,2011/7/2,320537.71880000000,20
171882,5640_3795_4_3,37.66562500000,140.94531300000,2011/7/2,134256.98440000000,50
171898,5640_3796_4_3,37.66562500000,140.95781300000,2011/7/2,112495.42970000000,50
171931,5640_3798_4_4,37.66562500000,140.98593800000,2011/7/2,74449.09375000000,100
171943,5640_3799_3_4,37.66562500000,140.99218800000,2011/7/2,74031.30469000000,50
171947,5640_3799_4_4,37.66562500000,140.99843800000,2011/7/2,70467.85938000000,20
171815,5640_3791_3_4,37.66562500000,140.89218800000,2011/7/2,393160.09380000000,20
