メッシュコード,latitude,longitude,都道府県,市区町村,測定日時,radiation
5540_6552_81,37.215755,140.651430,福島県,いわき市,2016-08-23 10:14,1.3E-01
5640_3218_15,37.592850,140.356960,福島県,二本松市,2016-08-23 10:16,1.7E-01
5540_7778_20,37.310750,140.975510,福島県,双葉郡楢葉町,2016-08-23 10:18,1.6E-01
5640_5464_04,37.800034,140.555070,福島県,伊達市,2016-08-23 10:19,8.3E-02
5540_7496_64,37.330060,140.580080,福島県,田村郡小野町,2016-08-23 10:19,1.3E-01
5740_1627_85,38.106945,140.844600,宮城県,岩沼市,2016-08-23 10:23,1.1E-01
5640_3208_25,37.585680,140.356400,福島県,二本松市,2016-08-23 10:23,8.7E-02
5640_7581_26,37.985050,140.645360,宮城県,白石市,2016-08-23 10:24,7.1E-02
5540_6551_51,37.213287,140.639500,福島県,いわき市,2016-08-23 10:24,9.9E-02
5540_3777_72,36.981243,140.965700,福島県,いわき市,2016-08-23 10:25,1.5E-01
5540_7497_51,37.329950,140.589720,福島県,田村郡小野町,2016-08-23 10:27,9.1E-02
5640_5626_85,37.773354,140.831700,福島県,相馬市,2016-08-23 10:31,3.1E-01
5640_3207_08,37.583744,140.348270,福島県,二本松市,2016-08-23 10:31,1.6E-01
5540_7777_14,37.309692,140.968580,福島県,双葉郡楢葉町,2016-08-23 10:31,8.2E-01
5640_5453_82,37.798653,140.540340,福島県,伊達市,2016-08-23 10:32,3.8E-01
5540_3776_38,36.977510,140.960430,福島県,いわき市,2016-08-23 10:32,1.3E-01
5740_1626_83,38.107044,140.828810,宮城県,岩沼市,2016-08-23 10:33,8.1E-02
5540_7487_34,37.319607,140.592970,福島県,田村郡小野町,2016-08-23 10:35,1.2E-01
5640_2239_38,37.528280,140.373120,福島県,安達郡大玉村,2016-08-23 10:36,2.5E-01
5640_5625_48,37.770670,140.823140,福島県,相馬市,2016-08-23 10:40,1.7E-01
5640_7582_21,37.985786,140.652080,宮城県,白石市,2016-08-23 10:41,1.6E-01
5640_5452_56,37.796165,140.532960,福島県,伊達市,2016-08-23 10:41,2.9E-01
5540_7767_85,37.307280,140.968770,福島県,双葉郡楢葉町,2016-08-23 10:42,2.6E-01
5640_4651_10,37.709442,140.763150,福島県,相馬郡飯舘村,2016-08-23 10:44,4.6E-01
5540_7486_28,37.318382,140.585860,福島県,田村郡小野町,2016-08-23 10:44,1.0E-01
5640_2298_61,37.580020,140.351930,福島県,二本松市,2016-08-23 10:45,9.9E-02
5640_2249_06,37.534160,140.371080,福島県,安達郡大玉村,2016-08-23 10:45,2.3E-01
5540_3774_48,36.978622,140.935610,福島県,いわき市,2016-08-23 10:46,9.4E-02
5740_1618_68,38.097404,140.860490,宮城県,岩沼市,2016-08-23 10:48,8.1E-02
5540_6155_36,37.211590,140.195110,福島県,白河市,2016-08-23 10:50,2.2E-01
5540_6156_92,37.216423,140.203700,福島県,白河市,2016-08-23 10:51,1.4E-01
5540_6167_09,37.217224,140.224330,福島県,白河市,2016-08-23 10:52,1.6E-01
5540_6157_92,37.216328,140.215730,福島県,白河市,2016-08-23 10:52,1.5E-01
5640_5617_77,37.764446,140.846530,福島県,相馬市,2016-08-23 10:53,2.0E-01
5540_7476_78,37.314370,140.585110,福島県,田村郡小野町,2016-08-23 10:53,1.2E-01
5640_5474_63,37.814095,140.554520,福島県,伊達市,2016-08-23 10:54,1.1E-01
5640_2248_49,37.536697,140.362470,福島県,安達郡大玉村,2016-08-23 10:55,7.6E-02
5640_2289_95,37.574240,140.369610,福島県,二本松市,2016-08-23 10:56,1.8E-01
5540_6542_98,37.208088,140.661240,福島県,いわき市,2016-08-23 10:57,1.6E-01
5540_7776_59,37.312805,140.962330,福島県,双葉郡楢葉町,2016-08-23 10:58,4.0E-01
5540_3773_56,36.979496,140.920300,福島県,いわき市,2016-08-23 10:58,1.0E-01
5640_7592_45,37.995470,140.657010,宮城県,白石市,2016-08-23 10:59,1.1E-01
5640_5618_63,37.763508,140.854980,福島県,相馬市,2016-08-23 11:01,9.9E-02
5740_1619_92,38.099514,140.865510,宮城県,岩沼市,2016-08-23 11:04,7.0E-02
5640_2247_89,37.540833,140.349370,福島県,安達郡大玉村,2016-08-23 11:05,1.9E-01
5540_6158_94,37.216400,140.230560,福島県,白河市,2016-08-23 11:05,1.7E-01
5540_7475_29,37.310830,140.574020,福島県,田村郡小野町,2016-08-23 11:06,1.3E-01
5640_2380_15,37.567596,140.382160,福島県,二本松市,2016-08-23 11:07,1.7E-01
5640_4650_05,37.708584,140.757060,福島県,相馬郡飯舘村,2016-08-23 11:07,9.1E-01
5640_4579_64,37.730515,140.743030,福島県,相馬郡飯舘村,2016-08-23 11:08,8.1E-01
5640_5485_20,37.818974,140.562530,福島県,伊達市,2016-08-23 11:09,3.2E-01
5640_4680_44,37.737408,140.755250,福島県,相馬郡飯舘村,2016-08-23 11:09,2.6E-01
5540_6541_12,37.200910,140.640370,福島県,いわき市,2016-08-23 11:09,1.5E-01
5640_4680_55,37.737860,140.757060,福島県,相馬郡飯舘村,2016-08-23 11:10,5.0E-01
5640_4692_42,37.745255,140.778500,福島県,相馬郡飯舘村,2016-08-23 11:10,4.7E-01
5740_0502_57,38.004330,140.659740,宮城県,白石市,2016-08-23 11:11,1.0E-01
5540_7775_67,37.314102,140.946870,福島県,双葉郡楢葉町,2016-08-23 11:11,3.9E-01
5640_2390_67,37.580080,140.383990,福島県,二本松市,2016-08-23 11:14,3.1E-01
5640_2257_76,37.547836,140.345640,福島県,安達郡大玉村,2016-08-23 11:14,1.4E-01
5540_6158_18,37.209330,140.235960,福島県,白河市,2016-08-23 11:16,1.2E-01
5640_5619_72,37.764440,140.865300,福島県,相馬市,2016-08-23 11:17,1.6E-01
